"rule"; "support"; "interactions"; "coverage"
"applicationType=gateway & authenticationType=uaa & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE"; 0.55; 6; 1.46
"authenticationType=uaa & prodDatabaseType=mysql & buildTool=maven & useSass=TRUE & enableTranslation=TRUE"; 0.55; 5; 1.46
"authenticationType=uaa & websocket=spring-websocket & devDatabaseType=DiskBased & useSass=TRUE & enableTranslation=TRUE"; 0.55; 5; 1.46
"Docker=TRUE & databaseType=cassandra"; 0.53; 2; 1.41
"databaseType=mongodb & enableSocialSignIn=TRUE"; 0.49; 2; 1.3
"authenticationType=uaa & clusteredHttpSession=no & websocket=spring-websocket & buildTool=maven & useSass=TRUE & enableTranslation=TRUE"; 0.43; 6; 1.14
"authenticationType=uaa & clusteredHttpSession=hazelcast & websocket=no & buildTool=maven & useSass=FALSE & enableTranslation=FALSE"; 0.43; 6; 1.14
"applicationType=gateway & authenticationType=uaa & websocket=no & buildTool=maven & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 0.41; 7; 1.09
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=postgresql & enableTranslation=TRUE"; 0.37; 5; 0.98
"authenticationType=uaa & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=mysql"; 0.37; 4; 0.98
"authenticationType=uaa & websocket=spring-websocket & devDatabaseType=postgresql & searchEngine=elasticsearch"; 0.37; 4; 0.98
"applicationType=gateway & authenticationType=uaa & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 0.37; 6; 0.98
"applicationType=gateway & authenticationType=uaa & devDatabaseType=mysql & useSass=FALSE & enableTranslation=TRUE"; 0.37; 5; 0.98
"authenticationType=uaa & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven"; 0.37; 5; 0.98
"applicationType=gateway & authenticationType=uaa & devDatabaseType=mysql & buildTool=gradle & useSass=FALSE"; 0.37; 5; 0.98
"applicationType=gateway & authenticationType=uaa & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & searchEngine=elasticsearch"; 0.37; 6; 0.98
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=no"; 0.37; 5; 0.98
"authenticationType=uaa & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql"; 0.24; 5; 0.64
"authenticationType=uaa & clusteredHttpSession=hazelcast & websocket=spring-websocket & buildTool=maven & searchEngine=no & useSass=TRUE & enableTranslation=FALSE"; 0.22; 7; 0.58
"Docker=TRUE & applicationType=uaa & prodDatabaseType=mariadb & searchEngine=no"; 0.14; 4; 0.37
"authenticationType=uaa & databaseType=cassandra & useSass=TRUE"; 0.12; 3; 0.32
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mariadb & enableTranslation=FALSE"; 0.09; 6; 0.24
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=TRUE"; 0.06; 7; 0.16
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & devDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 0.06; 6; 0.16
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mariadb & useSass=TRUE"; 0.06; 6; 0.16
