"rule"; "support"; "interactions"; "coverage"
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=gradle & useSass=FALSE"; 0.02; 6; 0.05
"authenticationType=uaa & devDatabaseType=DiskBased & buildTool=gradle & searchEngine=no"; 0.02; 4; 0.05
"authenticationType=uaa & websocket=spring-websocket & devDatabaseType=InMemory & searchEngine=no"; 0.02; 4; 0.05
"authenticationType=uaa & prodDatabaseType=mysql & buildTool=maven & useSass=TRUE & enableTranslation=TRUE"; 0.02; 5; 0.05
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mariadb & useSass=TRUE"; 0.02; 4; 0.05
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mariadb"; 0.02; 4; 0.05
"authenticationType=uaa & websocket=no & devDatabaseType=DiskBased & searchEngine=no & enableTranslation=FALSE"; 0.02; 5; 0.05
"applicationType=gateway & clusteredHttpSession=no & prodDatabaseType=postgresql"; 0.02; 3; 0.05
"hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=postgresql & buildTool=maven & useSass=TRUE"; 0.02; 6; 0.05
"authenticationType=jwt & hibernateCache=no & enableSocialSignIn=TRUE"; 0.02; 3; 0.05
"Docker=FALSE & hibernateCache=no & prodDatabaseType=mysql"; 0.02; 3; 0.05
"authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=TRUE"; 0.02; 7; 0.05
"clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mysql & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 0.02; 6; 0.05
"applicationType=gateway & clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=mysql"; 0.02; 4; 0.05
"authenticationType=uaa & hibernateCache=hazelcast & devDatabaseType=DiskBased & useSass=FALSE"; 0.02; 4; 0.05
"hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & buildTool=maven & searchEngine=no"; 0.02; 6; 0.05
"authenticationType=session & useSass=FALSE & enableTranslation=TRUE"; 0.02; 3; 0.05
"hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=elasticsearch & enableTranslation=FALSE"; 0.02; 7; 0.05
"hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=TRUE"; 0.02; 7; 0.05
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no"; 0.02; 7; 0.05
"hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=mariadb & enableTranslation=FALSE"; 0.02; 4; 0.05
"clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=TRUE"; 0.02; 7; 0.05
"hibernateCache=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb"; 0.02; 4; 0.05
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=TRUE"; 0.02; 5; 0.05
"hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=postgresql & searchEngine=elasticsearch & enableTranslation=FALSE"; 0.02; 6; 0.05
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle"; 0.02; 5; 0.05
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=postgresql & buildTool=maven & enableTranslation=TRUE"; 0.02; 6; 0.05
"hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mariadb"; 0.02; 5; 0.05
"clusteredHttpSession=no & prodDatabaseType=mariadb & useSass=TRUE & enableTranslation=FALSE"; 0.02; 4; 0.05
"clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 0.02; 5; 0.05
"hibernateCache=no & prodDatabaseType=mariadb"; 0.02; 2; 0.05
"hibernateCache=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 0.02; 6; 0.05
"clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & useSass=FALSE & enableTranslation=TRUE"; 0.02; 7; 0.05
"hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & buildTool=maven & searchEngine=no"; 0.02; 6; 0.05
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=FALSE"; 0.02; 6; 0.05
"hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & devDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE"; 0.02; 6; 0.05
"hibernateCache=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & enableTranslation=FALSE"; 0.02; 6; 0.05
"clusteredHttpSession=no & prodDatabaseType=mariadb"; 0.02; 2; 0.05
"hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no"; 0.02; 6; 0.05
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=InMemory & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 0.02; 6; 0.05
"hibernateCache=no & devDatabaseType=postgresql & buildTool=maven & searchEngine=no & enableTranslation=TRUE"; 0.02; 5; 0.05
"hibernateCache=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & searchEngine=no & useSass=FALSE"; 0.02; 6; 0.05
"hibernateCache=no & clusteredHttpSession=no & devDatabaseType=mysql & useSass=TRUE & enableTranslation=TRUE"; 0.02; 5; 0.05
"clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=FALSE"; 0.02; 6; 0.05
"devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 0.02; 5; 0.05
"hibernateCache=no & websocket=spring-websocket & devDatabaseType=mysql & buildTool=gradle"; 0.02; 4; 0.05
"hibernateCache=ehcache & devDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 0.02; 5; 0.05
"websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 0.02; 6; 0.05
"devDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE"; 0.02; 4; 0.05
"clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=mysql & buildTool=maven & useSass=FALSE & enableTranslation=TRUE"; 0.02; 6; 0.05
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=maven"; 0.02; 4; 0.05
"hibernateCache=no & websocket=no & prodDatabaseType=postgresql & buildTool=gradle & useSass=FALSE & enableTranslation=TRUE"; 0.02; 6; 0.05
